nickname,player_details,final_score,show_info,full_name,occupation,hometown,archive_info,date
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 5-day cash winnings total $109,700)","$27,600","J! Archive - Show #8045, aired 2019-07-26",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8045,2019-07-26
Maggie,"Maggie Lehrman, an editor and writer from Brooklyn, New York",$0,"J! Archive - Show #8045, aired 2019-07-26",Maggie Lehrman,an editor and writer,"Brooklyn, New York",J! Archive - Show #8045,2019-07-26
Michael,"Michael Riggs, an educational therapist from Tustin, California",$2,"J! Archive - Show #8045, aired 2019-07-26",Michael Riggs,an educational therapist,"Tustin, California",J! Archive - Show #8045,2019-07-26
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 4-day cash winnings total $105,300)","$4,400","J! Archive - Show #8044, aired 2019-07-25",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8044,2019-07-25
Eric,"Eric Kaplan, a retired OB-GYN physician from Long Beach, California",$0,"J! Archive - Show #8044, aired 2019-07-25",Eric Kaplan,a retired OB-GYN physician,"Long Beach, California",J! Archive - Show #8044,2019-07-25
Shari,"Shari Meyer, a high school English teacher from Somerville, Massachusetts",$0,"J! Archive - Show #8044, aired 2019-07-25",Shari Meyer,a high school English teacher,"Somerville, Massachusetts",J! Archive - Show #8044,2019-07-25
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 3-day cash winnings total $75,300)","$30,000","J! Archive - Show #8043, aired 2019-07-24",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8043,2019-07-24
Michelle,"Michelle Bruck, an attorney from Levittown, Pennsylvania","$3,000","J! Archive - Show #8043, aired 2019-07-24",Michelle Bruck,an attorney,"Levittown, Pennsylvania",J! Archive - Show #8043,2019-07-24
Corin,"Corin Purifoy, a fiber artist from Milwaukee, Wisconsin","$6,100","J! Archive - Show #8043, aired 2019-07-24",Corin Purifoy,a fiber artist,"Milwaukee, Wisconsin",J! Archive - Show #8043,2019-07-24
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 2-day cash winnings total $45,200)","$30,100","J! Archive - Show #8042, aired 2019-07-23",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8042,2019-07-23
